role,region,model,v2_n,v21_n_hosts,n_delta,v2_median,v21_median_native,median_delta,median_delta_pct,v21_median_hourly_usd,v21_published,note
(none),EU,Day,,1,1,,2250.0,,,326.67,no,"below the n>=8 reporting floor; counted, not published"
(none),EU,Monthly,,5,5,,3500.0,,,125.08,no,"below the n>=8 reporting floor; counted, not published"
(none),UK,Day,,3,3,,900.0,,,151.84,no,"below the n>=8 reporting floor; counted, not published"
(none),UK,Hourly,,1,1,,145.0,,,195.71,no,"below the n>=8 reporting floor; counted, not published"
(none),UK,Monthly,,5,5,,2000.0,,,83.06,no,"below the n>=8 reporting floor; counted, not published"
(none),US,Day,,3,3,,2000.0,,,250.0,no,"below the n>=8 reporting floor; counted, not published"
(none),US,Hourly,,8,8,,175.0,,,175.0,yes,new group in v2.1
(none),US,Monthly,,42,42,,4875.0,,,153.85,yes,new group in v2.1
CFO,UK,Monthly,1,1,0,8000.0,8000.0,0.0,0.0,332.24,no,"below the n>=8 reporting floor; counted, not published"
CFO,US,Hourly,6,3,-3,250.0,200.0,-50.0,-20.0,200.0,no,"below the n>=8 reporting floor; counted, not published"
CFO,US,Monthly,15,6,-9,1499.0,2500.0,1001.0,66.8,76.92,no,"below the n>=8 reporting floor; counted, not published"
CMO,EU,Monthly,5,4,-1,3000.0,3750.0,750.0,25.0,134.02,no,"below the n>=8 reporting floor; counted, not published"
CMO,UK,Day,2,1,-1,672.0,500.0,-172.0,-25.6,84.36,no,"below the n>=8 reporting floor; counted, not published"
CMO,UK,Monthly,2,2,0,4750.0,4750.0,0.0,0.0,197.27,no,"below the n>=8 reporting floor; counted, not published"
CMO,US,Hourly,4,4,0,288.0,287.5,-0.5,-0.2,287.5,no,"below the n>=8 reporting floor; counted, not published"
CMO,US,Monthly,29,26,-3,7000.0,7500.0,500.0,7.1,188.47,yes,
COO,EU,Day,1,1,0,1800.0,1800.0,0.0,0.0,261.34,no,"below the n>=8 reporting floor; counted, not published"
COO,EU,Monthly,1,0,-1,6000.0,,,,,no,group emptied by the evidence and scope rules
COO,UK,Monthly,1,1,0,2750.0,2750.0,0.0,0.0,114.2,no,"below the n>=8 reporting floor; counted, not published"
COO,US,Day,1,0,-1,2000.0,,,,,no,group emptied by the evidence and scope rules
COO,US,Hourly,4,4,0,250.0,250.0,0.0,0.0,250.0,no,"below the n>=8 reporting floor; counted, not published"
COO,US,Monthly,12,8,-4,5000.0,3937.5,-1062.5,-21.2,124.23,yes,
CPO,EU,Day,1,0,-1,1363.0,,,,,no,group emptied by the evidence and scope rules
CPO,EU,Hourly,1,0,-1,83.0,,,,,no,group emptied by the evidence and scope rules
CPO,EU,Monthly,1,1,0,1200.0,1200.0,0.0,0.0,42.89,no,"below the n>=8 reporting floor; counted, not published"
CPO,UK,Day,2,2,0,1675.0,1675.0,0.0,0.0,282.6,no,"below the n>=8 reporting floor; counted, not published"
CPO,UK,Monthly,1,1,0,12000.0,12000.0,0.0,0.0,498.36,no,"below the n>=8 reporting floor; counted, not published"
CPO,US,Day,1,1,0,2000.0,2000.0,0.0,0.0,250.0,no,"below the n>=8 reporting floor; counted, not published"
CPO,US,Hourly,1,1,0,400.0,400.0,0.0,0.0,400.0,no,"below the n>=8 reporting floor; counted, not published"
CPO,US,Monthly,12,13,1,7000.0,8000.0,1000.0,14.3,184.62,yes,
CRO,UK,Monthly,1,1,0,2500.0,4000.0,1500.0,60.0,166.12,no,"below the n>=8 reporting floor; counted, not published"
CTO,EU,Hourly,1,1,0,150.0,150.0,0.0,0.0,174.23,no,"below the n>=8 reporting floor; counted, not published"
CTO,EU,Monthly,4,5,1,4450.0,4900.0,450.0,10.1,175.12,no,"below the n>=8 reporting floor; counted, not published"
CTO,UK,Day,5,3,-2,1000.0,1200.0,200.0,20.0,202.46,no,"below the n>=8 reporting floor; counted, not published"
CTO,UK,Hourly,1,1,0,97.0,96.88,-0.12,-0.1,130.75,no,"below the n>=8 reporting floor; counted, not published"
CTO,UK,Monthly,6,6,0,4324.0,4324.5,0.5,0.0,179.6,no,"below the n>=8 reporting floor; counted, not published"
CTO,US,Day,2,2,0,2875.0,2875.0,0.0,0.0,359.38,no,"below the n>=8 reporting floor; counted, not published"
CTO,US,Hourly,8,8,0,200.0,200.0,0.0,0.0,200.0,yes,
CTO,US,Monthly,16,15,-1,7000.0,7500.0,500.0,7.1,181.82,yes,
multi,UK,Monthly,,1,1,,2000.0,,,83.06,no,"below the n>=8 reporting floor; counted, not published"
multi,US,Day,,1,1,,3375.0,,,421.88,no,"below the n>=8 reporting floor; counted, not published"
multi,US,Monthly,,4,4,,4250.0,,,130.77,no,"below the n>=8 reporting floor; counted, not published"
