role,region,model,v2_n,v21_n_hosts,n_delta,v2_median,v21_median_native,median_delta,median_delta_pct,v21_median_hourly_usd,v21_published,note
(none),EU,Day,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
(none),EU,Monthly,,5,5,,,,,,no,"below the n>=8 reporting floor; counted, not published"
(none),UK,Day,,3,3,,,,,,no,"below the n>=8 reporting floor; counted, not published"
(none),UK,Hourly,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
(none),UK,Monthly,,5,5,,,,,,no,"below the n>=8 reporting floor; counted, not published"
(none),US,Day,,3,3,,,,,,no,"below the n>=8 reporting floor; counted, not published"
(none),US,Hourly,8,8,0,175.0,175.0,0.0,0.0,175.0,yes,
(none),US,Monthly,42,38,-4,4875.0,5000.0,125.0,2.6,161.54,yes,
CFO,UK,Monthly,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CFO,US,Hourly,,3,3,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CFO,US,Monthly,,6,6,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CMO,EU,Monthly,,4,4,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CMO,UK,Day,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CMO,UK,Monthly,,2,2,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CMO,US,Hourly,,4,4,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CMO,US,Monthly,26,26,0,7500.0,8250.0,750.0,10.0,181.54,yes,
COO,EU,Day,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
COO,UK,Monthly,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
COO,US,Hourly,,4,4,,,,,,no,"below the n>=8 reporting floor; counted, not published"
COO,US,Monthly,8,7,-1,3938.0,,,,,no,"below the n>=8 reporting floor; counted, not published"
CPO,EU,Monthly,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CPO,UK,Day,,2,2,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CPO,UK,Monthly,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CPO,US,Day,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CPO,US,Hourly,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CPO,US,Monthly,13,12,-1,8000.0,7000.0,-1000.0,-12.5,180.76,yes,
CRO,UK,Monthly,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CTO,EU,Hourly,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CTO,EU,Monthly,,5,5,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CTO,UK,Day,,3,3,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CTO,UK,Hourly,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CTO,UK,Monthly,,6,6,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CTO,US,Day,,2,2,,,,,,no,"below the n>=8 reporting floor; counted, not published"
CTO,US,Hourly,8,8,0,200.0,200.0,0.0,0.0,200.0,yes,
CTO,US,Monthly,15,14,-1,7500.0,8000.0,500.0,6.7,199.08,yes,
multi,UK,Monthly,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
multi,US,Day,,1,1,,,,,,no,"below the n>=8 reporting floor; counted, not published"
multi,US,Monthly,,4,4,,,,,,no,"below the n>=8 reporting floor; counted, not published"
