role,region,model,currency,n_hosts,n_offers,meets_floor,median_native,p25_native,p75_native,median_hourly_usd,p25_hourly_usd,p75_hourly_usd,confidence_high,confidence_medium,confidence_low
(none),EU,Day,EUR,1,1,no,,,,,,,0,0,1
(none),EU,Monthly,EUR,5,12,no,,,,,,,5,0,7
(none),UK,Day,GBP,3,8,no,,,,,,,7,0,1
(none),UK,Hourly,GBP,1,1,no,,,,,,,1,0,0
(none),UK,Monthly,GBP,5,5,no,,,,,,,3,1,1
(none),US,Day,USD,3,3,no,,,,,,,1,1,1
(none),US,Hourly,USD,8,8,yes,175.0,67.5,268.75,175.0,67.5,268.75,0,1,7
(none),US,Monthly,USD,38,65,yes,5000.0,2593.75,9000.0,161.54,79.81,276.92,17,14,34
CFO,UK,Monthly,GBP,1,3,no,,,,,,,3,0,0
CFO,US,Hourly,USD,3,8,no,,,,,,,1,5,2
CFO,US,Monthly,USD,6,9,no,,,,,,,2,5,2
CMO,EU,Monthly,EUR,4,13,no,,,,,,,0,1,12
CMO,UK,Day,GBP,1,1,no,,,,,,,0,0,1
CMO,UK,Monthly,GBP,2,3,no,,,,,,,1,1,1
CMO,US,Hourly,USD,4,4,no,,,,,,,2,1,1
CMO,US,Monthly,USD,26,56,yes,8250.0,5125.0,10375.0,181.54,153.85,311.3,31,6,19
COO,EU,Day,EUR,1,1,no,,,,,,,0,0,1
COO,UK,Monthly,GBP,1,2,no,,,,,,,2,0,0
COO,US,Hourly,USD,4,8,no,,,,,,,6,2,0
COO,US,Monthly,USD,7,19,no,,,,,,,15,1,3
CPO,EU,Monthly,EUR,1,1,no,,,,,,,0,1,0
CPO,UK,Day,GBP,2,2,no,,,,,,,2,0,0
CPO,UK,Monthly,GBP,1,3,no,,,,,,,3,0,0
CPO,US,Day,USD,1,1,no,,,,,,,1,0,0
CPO,US,Hourly,USD,1,1,no,,,,,,,0,0,1
CPO,US,Monthly,USD,12,23,yes,7000.0,3375.0,11624.75,180.76,103.84,205.45,3,5,15
CRO,UK,Monthly,GBP,1,3,no,,,,,,,0,0,3
CTO,EU,Hourly,EUR,1,1,no,,,,,,,1,0,0
CTO,EU,Monthly,EUR,5,9,no,,,,,,,8,0,1
CTO,UK,Day,GBP,3,4,no,,,,,,,1,0,3
CTO,UK,Hourly,GBP,1,1,no,,,,,,,0,0,1
CTO,UK,Monthly,GBP,6,13,no,,,,,,,5,2,6
CTO,US,Day,USD,2,2,no,,,,,,,0,0,2
CTO,US,Hourly,USD,8,12,yes,200.0,125.0,268.75,200.0,125.0,268.75,4,1,7
CTO,US,Monthly,USD,14,31,yes,8000.0,4237.25,11312.5,199.08,130.11,348.07,9,6,16
multi,UK,Monthly,GBP,1,1,no,,,,,,,1,0,0
multi,US,Day,USD,1,1,no,,,,,,,0,1,0
multi,US,Monthly,USD,4,8,no,,,,,,,4,4,0
